Town,YearMonth,Rainfall_mm
Kiambu,2023-08,33.9
Kiambu,2023-09,52.7
Kiambu,2023-10,82.4
Kiambu,2023-11,192.3
Kiambu,2023-12,40.2
Kiambu,2024-01,91.0
Kiambu,2024-02,20.1
Kiambu,2024-03,30.0
Kiambu,2024-04,198.1
Kiambu,2024-05,110.6
Kiambu,2024-06,28.3
Kiambu,2024-07,82.8
Kiambu,2024-08,29.7
Kiambu,2024-09,31.900000000000002
Kiambu,2024-10,51.6
Kiambu,2024-11,125.1
Kiambu,2024-12,55.1
Kikuyu,2022-01,48.0
Kikuyu,2022-02,59.800000000000004
Kikuyu,2022-03,12.0
Kikuyu,2022-04,109.6
Kikuyu,2022-05,41.0
Kikuyu,2022-06,22.5
Kikuyu,2022-07,14.9
Kikuyu,2022-08,36.2
Kikuyu,2022-09,47.7
Kikuyu,2022-10,16.6
Kikuyu,2022-11,57.4
Kikuyu,2022-12,56.9
Kikuyu,2023-01,13.0
Kikuyu,2023-02,2.1
Kikuyu,2023-03,92.8
Kikuyu,2023-04,144.1
Kikuyu,2023-05,83.0
Kikuyu,2023-06,44.0
Kikuyu,2023-07,8.299999999999999
Kikuyu,2023-08,16.3
Kikuyu,2023-09,55.1
Kikuyu,2023-10,38.4
Kikuyu,2023-11,179.29999999999998
Kikuyu,2023-12,48.6
Kikuyu,2024-01,191.8
Kikuyu,2024-02,39.3
Kikuyu,2024-03,44.6
Kikuyu,2024-04,169.8
Kikuyu,2024-05,89.0
Kikuyu,2024-06,42.2
Kikuyu,2024-07,91.2
Kikuyu,2024-08,18.0
Kikuyu,2024-09,52.5
Kikuyu,2024-10,37.4
Kikuyu,2024-11,107.30000000000001
Kikuyu,2024-12,55.7
Kilifi,2022-01,21.599999999999998
Kilifi,2022-02,11.0
Kilifi,2022-03,18.7
Kilifi,2022-04,99.0
Kilifi,2022-05,83.4
Kilifi,2022-06,103.6
Kilifi,2022-07,97.89999999999999
Kilifi,2022-08,36.5
Kilifi,2022-09,35.3
Kilifi,2022-10,38.3
Kilifi,2022-11,43.6
Kilifi,2022-12,40.4
Kilifi,2023-01,25.2
Kilifi,2023-02,14.7
Kilifi,2023-03,54.0
Kilifi,2023-04,209.5
Kilifi,2023-05,97.6
Kilifi,2023-06,63.9
Kilifi,2023-07,95.5
Kilifi,2023-08,44.0
Kilifi,2023-09,45.3
Kilifi,2023-10,64.5
Kilifi,2023-11,478.40000000000003
Kilifi,2023-12,275.8
Kilifi,2024-01,95.4
Kilifi,2024-02,65.3
Kilifi,2024-03,122.2
Kilifi,2024-04,360.6
Kilifi,2024-05,86.0
Kilifi,2024-06,67.3
Kilifi,2024-07,33.6
Kilifi,2024-08,64.0
Kilifi,2024-09,38.6
Kilifi,2024-10,39.3
Kilifi,2024-11,130.8
Kilifi,2024-12,189.3
Kimilili,2022-01,45.2
Kimilili,2022-02,44.5
Kimilili,2022-03,13.4
Kimilili,2022-04,126.89999999999999
Kimilili,2022-05,107.2
Kimilili,2022-06,71.3
Kimilili,2022-07,100.8
Kimilili,2022-08,162.0
Kimilili,2022-09,137.1
Kimilili,2022-10,71.2
Kimilili,2022-11,63.8
Kimilili,2022-12,52.3
Kimilili,2023-01,2.7
Kimilili,2023-02,0.8
Kimilili,2023-03,153.6
Kimilili,2023-04,192.0
Kimilili,2023-05,66.1
Kimilili,2023-06,65.0
Kimilili,2023-07,36.4
Kimilili,2023-08,56.3
Kimilili,2023-09,141.8
Kimilili,2023-10,121.2
Kimilili,2023-11,198.79999999999998
Kimilili,2023-12,43.4
Kimilili,2024-01,79.39999999999999
Kimilili,2024-02,52.300000000000004
Kimilili,2024-03,38.4
Kimilili,2024-04,170.79999999999998
Kimilili,2024-05,95.9
Kimilili,2024-06,34.3
Kimilili,2024-07,98.7
Kimilili,2024-08,96.6
Kimilili,2024-09,93.7
Kimilili,2024-10,90.4
Kimilili,2024-11,151.3
Kimilili,2024-12,36.2
Kisii,2022-01,85.6
Kisii,2022-02,55.2
Kisii,2022-03,77.3
Kisii,2022-04,243.0
Kisii,2022-05,164.4
Kisii,2022-06,46.800000000000004
Kisii,2022-07,37.4
Kisii,2022-08,128.6
Kisii,2022-09,110.0
Kisii,2022-10,68.2
Kisii,2022-11,234.4
Kisii,2022-12,170.1
Kisii,2023-01,6.6
Kisii,2023-02,16.3
Kisii,2023-03,232.3
Kisii,2023-04,350.8
Kisii,2023-05,80.1
Kisii,2023-06,49.7
Kisii,2023-07,24.2
Kisii,2023-08,38.2
Kisii,2023-09,103.1
Kisii,2023-10,122.2
Kisii,2023-11,362.3
Kisii,2023-12,148.1
Kisii,2024-01,173.1
Kisii,2024-02,35.3
Kisii,2024-03,96.9
Kisii,2024-04,346.8
Kisii,2024-05,93.2
Kisii,2024-06,40.9
Kisii,2024-07,91.7
Kisii,2024-08,59.8
Kisii,2024-09,101.1
Kisii,2024-10,159.4
Kisii,2024-11,312.4
Kisii,2024-12,127.9
Kisumu,2022-01,98.8
Kisumu,2022-02,75.3
Kisumu,2022-03,44.8
Kisumu,2022-04,122.1
Kisumu,2022-05,122.89999999999999
Kisumu,2022-06,38.3
Kisumu,2022-07,76.8
Kisumu,2022-08,99.8
Kisumu,2022-09,68.7
Kisumu,2022-10,57.6
