time,precipitation_sum (mm),,,,,town
07/04/2023,0.4,,,,,Nairobi
08/04/2023,7.1,,,,,Nairobi
09/04/2023,2.3,,,,,Nairobi
10/04/2023,1.7,,,,,Nairobi
11/04/2023,11,,,,,Nairobi
12/04/2023,2.3,,,,,Nairobi
13/04/2023,3.7,,,,,Nairobi
14/04/2023,3.2,,,,,Nairobi
15/04/2023,2.7,,,,,Nairobi
16/04/2023,3.9,,,,,Nairobi
17/04/2023,4.6,,,,,Nairobi
18/04/2023,3.6,,,,,Nairobi
19/04/2023,2,,,,,Nairobi
20/04/2023,0.1,,,,,Nairobi
21/04/2023,0.9,,,,,Nairobi
22/04/2023,13.7,,,,,Nairobi
23/04/2023,7.4,,,,,Nairobi
24/04/2023,1.6,,,,,Nairobi
25/04/2023,17.5,,,,,Nairobi
26/04/2023,14.2,,,,,Nairobi
27/04/2023,2.8,,,,,Nairobi
28/04/2023,12.2,,,,,Nairobi
29/04/2023,1.4,,,,,Nairobi
30/04/2023,15.8,,,,,Nairobi
01/05/2023,12.2,,,,,Nairobi
02/05/2023,4.2,,,,,Nairobi
03/05/2023,11.8,,,,,Nairobi
04/05/2023,3.2,,,,,Nairobi
05/05/2023,1.4,,,,,Nairobi
06/05/2023,1.9,,,,,Nairobi
07/05/2023,2.3,,,,,Nairobi
08/05/2023,2.4,,,,,Nairobi
09/05/2023,3.9,,,,,Nairobi
10/05/2023,4.4,,,,,Nairobi
11/05/2023,5.9,,,,,Nairobi
12/05/2023,0.2,,,,,Nairobi
13/05/2023,3,,,,,Nairobi
14/05/2023,1.1,,,,,Nairobi
15/05/2023,0.2,,,,,Nairobi
16/05/2023,2.6,,,,,Nairobi
17/05/2023,0.8,,,,,Nairobi
18/05/2023,2.7,,,,,Nairobi
19/05/2023,0.3,,,,,Nairobi
20/05/2023,0,,,,,Nairobi
21/05/2023,0.1,,,,,Nairobi
22/05/2023,0.1,,,,,Nairobi
23/05/2023,1.4,,,,,Nairobi
24/05/2023,1.5,,,,,Nairobi
25/05/2023,0.3,,,,,Nairobi
26/05/2023,0.1,,,,,Nairobi
27/05/2023,2.4,,,,,Nairobi
28/05/2023,2.3,,,,,Nairobi
29/05/2023,9.2,,,,,Nairobi
30/05/2023,5.7,,,,,Nairobi
31/05/2023,0.9,,,,,Nairobi
01/06/2023,3.1,,,,,Nairobi
02/06/2023,3.2,,,,,Nairobi
03/06/2023,3,,,,,Nairobi
04/06/2023,3.2,,,,,Nairobi
05/06/2023,0,,,,,Nairobi
06/06/2023,2.2,,,,,Nairobi
07/06/2023,0,,,,,Nairobi
08/06/2023,0,,,,,Nairobi
09/06/2023,0.4,,,,,Nairobi
10/06/2023,0.1,,,,,Nairobi
11/06/2023,0,,,,,Nairobi
12/06/2023,0,,,,,Nairobi
13/06/2023,0,,,,,Nairobi
14/06/2023,0.2,,,,,Nairobi
15/06/2023,1.2,,,,,Nairobi
16/06/2023,0.1,,,,,Nairobi
17/06/2023,1.4,,,,,Nairobi
18/06/2023,0.2,,,,,Nairobi
19/06/2023,0,,,,,Nairobi
20/06/2023,0.2,,,,,Nairobi
21/06/2023,1.4,,,,,Nairobi
22/06/2023,0.5,,,,,Nairobi
23/06/2023,0.8,,,,,Nairobi
24/06/2023,1.1,,,,,Nairobi
25/06/2023,0,,,,,Nairobi
26/06/2023,0.2,,,,,Nairobi
27/06/2023,0.3,,,,,Nairobi
28/06/2023,0.3,,,,,Nairobi
29/06/2023,0,,,,,Nairobi
30/06/2023,1.1,,,,,Nairobi
01/07/2023,0.6,,,,,Nairobi
02/07/2023,0.3,,,,,Nairobi
03/07/2023,0.6,,,,,Nairobi
04/07/2023,2,,,,,Nairobi
05/07/2023,0,,,,,Nairobi
06/07/2023,0.1,,,,,Nairobi
07/07/2023,0,,,,,Nairobi
08/07/2023,0.3,,,,,Nairobi
09/07/2023,0.1,,,,,Nairobi
10/07/2023,0,,,,,Nairobi
11/07/2023,0,,,,,Nairobi
12/07/2023,0.4,,,,,Nairobi
13/07/2023,0.1,,,,,Nairobi
14/07/2023,0.3,,,,,Nairobi
15/07/2023,0,,,,,Nairobi
16/07/2023,0,,,,,Nairobi
17/07/2023,0,,,,,Nairobi
18/07/2023,0,,,,,Nairobi
19/07/2023,0,,,,,Nairobi
20/07/2023,0.1,,,,,Nairobi
21/07/2023,0,,,,,Nairobi
22/07/2023,0,,,,,Nairobi
23/07/2023,0.2,,,,,Nairobi
24/07/2023,0.2,,,,,Nairobi
25/07/2023,0.3,,,,,Nairobi
26/07/2023,0,,,,,Nairobi
27/07/2023,0,,,,,Nairobi
28/07/2023,0.6,,,,,Nairobi
29/07/2023,0,,,,,Nairobi
30/07/2023,0.8,,,,,Nairobi
31/07/2023,0,,,,,Nairobi
01/08/2023,0.2,,,,,Nairobi
02/08/2023,3,,,,,Nairobi
03/08/2023,1.7,,,,,Nairobi
04/08/2023,1,,,,,Nairobi
05/08/2023,0,,,,,Nairobi
06/08/2023,0.9,,,,,Nairobi
07/08/2023,0.2,,,,,Nairobi
08/08/2023,0.2,,,,,Nairobi
09/08/2023,0,,,,,Nairobi
10/08/2023,1.2,,,,,Nairobi
11/08/2023,0.2,,,,,Nairobi
12/08/2023,0.8,,,,,Nairobi
13/08/2023,0,,,,,Nairobi
14/08/2023,0,,,,,Nairobi
15/08/2023,0.1,,,,,Nairobi
16/08/2023,0.3,,,,,Nairobi
17/08/2023,0.5,,,,,Nairobi
18/08/2023,0.4,,,,,Nairobi
19/08/2023,0,,,,,Nairobi
20/08/2023,0,,,,,Nairobi
21/08/2023,0,,,,,Nairobi
22/08/2023,0.2,,,,,Nairobi
23/08/2023,0,,,,,Nairobi
24/08/2023,0.8,,,,,Nairobi
25/08/2023,0,,,,,Nairobi
26/08/2023,0.8,,,,,Nairobi
27/08/2023,0,,,,,Nairobi
28/08/2023,0,,,,,Nairobi
29/08/2023,0.1,,,,,Nairobi
30/08/2023,0.8,,,,,Nairobi
31/08/2023,0.8,,,,,Nairobi
01/09/2023,0.2,,,,,Nairobi
02/09/2023,0.3,,,,,Nairobi
03/09/2023,0,,,,,Nairobi
04/09/2023,0,,,,,Nairobi
05/09/2023,0.4,,,,,Nairobi
06/09/2023,0.3,,,,,Nairobi
07/09/2023,3.5,,,,,Nairobi
08/09/2023,1,,,,,Nairobi
09/09/2023,2.3,,,,,Nairobi
10/09/2023,0,,,,,Nairobi
11/09/2023,0.8,,,,,Nairobi
12/09/2023,1.1,,,,,Nairobi
13/09/2023,2.8,,,,,Nairobi
14/09/2023,3.2,,,,,Nairobi
15/09/2023,0.5,,,,,Nairobi
16/09/2023,0.1,,,,,Nairobi
17/09/2023,0,,,,,Nairobi
18/09/2023,0,,,,,Nairobi
19/09/2023,0.8,,,,,Nairobi
20/09/2023,0.5,,,,,Nairobi
21/09/2023,0.8,,,,,Nairobi
22/09/2023,3.9,,,,,Nairobi
23/09/2023,0.2,,,,,Nairobi
24/09/2023,0.1,,,,,Nairobi
25/09/2023,0.1,,,,,Nairobi
26/09/2023,1,,,,,Nairobi
27/09/2023,0.6,,,,,Nairobi
28/09/2023,0.4,,,,,Nairobi
29/09/2023,1.4,,,,,Nairobi
30/09/2023,2.3,,,,,Nairobi
01/10/2023,0,,,,,Nairobi
02/10/2023,3.9,,,,,Nairobi
03/10/2023,0,,,,,Nairobi
04/10/2023,3.4,,,,,Nairobi
05/10/2023,5,,,,,Nairobi
06/10/2023,1.2,,,,,Nairobi
07/10/2023,1.3,,,,,Nairobi
08/10/2023,0,,,,,Nairobi
09/10/2023,0,,,,,Nairobi
10/10/2023,2.8,,,,,Nairobi
11/10/2023,0.4,,,,,Nairobi
12/10/2023,0.3,,,,,Nairobi
13/10/2023,0.1,,,,,Nairobi
14/10/2023,0.2,,,,,Nairobi
15/10/2023,0.7,,,,,Nairobi
16/10/2023,1.9,,,,,Nairobi
17/10/2023,3.6,,,,,Nairobi
18/10/2023,2.4,,,,,Nairobi
19/10/2023,6.9,,,,,Nairobi
20/10/2023,1.9,,,,,Nairobi
21/10/2023,1.9,,,,,Nairobi
22/10/2023,0.1,,,,,Nairobi
23/10/2023,0,,,,,Nairobi
24/10/2023,0.2,,,,,Nairobi
25/10/2023,1,,,,,Nairobi
26/10/2023,2.5,,,,,Nairobi
27/10/2023,2.6,,,,,Nairobi
28/10/2023,0.6,,,,,Nairobi
29/10/2023,2.5,,,,,Nairobi
30/10/2023,1.2,,,,,Nairobi
